Postcode,Sales per month,Turnover (sale),5yr Price Growth,Crime rate,Population,Population growth (10 year),Degree,Deprivation,Social rent,Acres of green space / 1000 residents,Households,Density,Average Income,State Schools
N15,0.22451224714308166,7,9,184,44541,3,48,24,25,2.1,2.6578947368421053,34557,44500,0.3592195954289306
N16,0.3213179879651808,12,7,106,68468,5,49,23,32,1.8,2.6129832461931843,38238,50300,0.3067126248758544
N17,0.27050249817013017,8,8,178,62846,3,36,29,34,4.9,2.687219395390602,24944,40800,0.3500620564554625
N18,0.252700739149662,8,12,189,31658,5,29,29,23,7.3,2.7907263751763045,16492,41100,0.22111314675595425
N19,0.2959981056121241,6,37,157,33784,5,57,22,38,2.2,2.2302614206495908,37325,50400,0.2959981056121241
N20,0.4217852058839036,4,17,71,18967,9,51,13,4,27.3,2.60392641405821,5282,55500,0.5272315073548796
N21,0.3401215934696654,4,6,61,23521,5,46,13,5,22.4,2.546389520407059,10194,60200,0.2125759959185409
N22,0.3721276397804447,7,13,161,42996,3,46,24,20,9.2,2.5066169183233256,22152,49200,0.3488696622941669
NE1,0.7872244714349977,6,-13,1406,8892,7,44,17,22,9.2,2.209192546583851,14686,29800,0.2249212775528565
NE2,0.5556134319547175,15,11,103,28797,7,44,13,24,28.7,2.810560218621901,13550,41000,0.13890335798867937
NE3,0.7624927935132321,26,24,89,53771,7,45,15,11,20.4,2.3682448799823828,7367,43500,0.39054508936043597
NE4,0.3956217855729922,19,35,194,37915,7,30,28,43,8.6,2.6377487129539445,14513,29600,0.3956217855729922
NE5,0.5999048426801266,14,14,126,48341,7,24,24,14,14.2,2.3026102696008386,6540,32700,0.3516683560538673
NE6,0.43615312939870343,18,19,184,50441,7,32,25,37,10.6,2.225698274720911,11945,31100,0.3370274181717254
NE7,0.5822604645144595,18,23,75,15457,7,49,14,8,18.5,2.4786722257857603,9154,47800,0.2587824286730931
NE8,0.7107979479572285,16,3,200,32358,-2,31,25,33,8.3,2.1623897353648758,11806,33000,0.33994684467519626
NE9,0.5054535780792764,17,15,116,37590,-2,28,23,25,11.1,2.27501059129698,7273,34500,0.4522479382814578
NE10,0.27766979507969125,12,14,114,36014,-2,23,26,29,25.1,2.2166553825321595,6677,31600,0.49980563114344423
NE11,0.4893564962074871,10,12,158,16348,-2,27,20,13,7.6,2.299943725379854,1586,34600,0.36701737215561536
NE12,0.5771339527904427,15,10,101,34654,4,33,17,15,20.8,2.21842391652263,6649,36900,0.432850464592832
NE13,1.2867942737654818,13,18,104,12434,6,40,15,12,22.4,2.1913993655269652,1611,38800,0.48254785266205563
NE15,0.6758417301548292,12,14,120,32552,6,28,20,11,23.8,2.30914378945875,1689,33200,0.5529614155812239
NE16,0.7021102313063151,12,20,64,25637,-1,32,16,8,30.2,2.27419497915373,2104,39100,0.3900612396146195
NE17,1.0224948875255624,11,-22,101,4890,-1,28,22,28,41.0,2.1618037135278514,467,36600,0.20449897750511248
NE18,2.0855057351407718,7,22,22,959,2,42,10,2,19.4,2.4217171717171717,64,53000,1.0427528675703859
NE19,0.9328358208955224,7,21,37,2144,2,40,11,6,57.9,2.293048128342246,14,40700,0.4664179104477612
NE20,0.678195998643608,8,20,64,11796,2,48,8,4,45.9,2.4226740603820085,226,47600,0.593421498813157
NE21,0.8396809212499251,21,9,114,16673,-2,28,18,9,44.9,2.2549364349472545,2551,34500,0.41984046062496255
NE22,0.82904990880451,16,16,136,18093,2,23,21,9,29.8,2.2896735003796507,1816,35300,0.4421599513624053
NE23,0.5098659052669148,9,12,100,39226,2,25,18,27,14.7,2.309857496172418,2825,37600,0.3823994289501861
NE24,0.6325944278974143,14,4,171,37939,2,22,23,19,13.7,2.2749295436829167,4946,33100,0.31629721394870713
NE25,0.6346873329770176,13,19,70,29936,3,37,15,8,6.7,2.275463666768015,3770,40900,0.5678781400320684
NE26,0.8347680909897219,16,31,101,19167,4,41,13,5,14.6,2.3227096461463885,3396,44900,0.3130380341211457
NE27,0.7296311309282529,11,-18,129,12335,4,34,15,15,15.6,2.339275554712687,3225,39500,0.3242805026347791
NE28,0.7637188616096497,17,14,148,44519,4,24,22,20,20.3,2.18541063276226,8324,32800,0.3818594308048249
NE29,0.7231462424208711,13,18,156,35954,4,28,22,25,7.5,2.1294716891731817,8287,32700,0.33375980419424817
NE30,0.5915275060290303,8,23,89,21977,4,37,15,14,12.5,2.0825357718184403,10276,40400,0.4550211584838695
NE31,0.6068574896328512,14,-19,115,19774,0,25,22,24,20.2,2.2422043315568656,8789,32400,0.5057145746940427
NE32,0.5535347145342401,20,16,112,25292,0,23,23,34,13.8,2.2453835227272725,6337,31400,0.5139965206389372
NE33,0.7317430118542367,9,1,226,27332,0,27,24,25,7.7,2.0119249171880753,10048,30800,0.2926972047416947
NE34,0.5374177079134758,10,9,115,52101,0,24,24,30,10.3,2.2433153928955867,10658,31900,0.3838697913667684
NE35,0.7848061528802386,19,-1,135,6371,0,22,24,32,12.0,2.3209471766848817,6054,35000,0.47088369172814315
NE36,0.4386606228980845,6,6,56,6839,0,25,23,17,28.7,2.2168557536466778,1088,41900,0.5848808305307793
NE37,0.9509319132750095,26,6,122,21032,0,21,23,23,14.7,2.330932062506927,7363,32600,0.47546595663750474
NE38,0.38422131147540983,12,18,100,31232,0,26,20,12,13.8,2.350391330523781,4994,38300,0.5122950819672132
NE39,0.4621606008087811,7,7,81,8655,-2,28,20,15,58.2,2.3154093097913324,1326,39100,0.4621606008087811
NE40,0.5713197486193106,7,4,69,15753,-2,32,16,7,23.6,2.281059947871416,4296,38100,0.38087983241287376
NE41,1.445086705202312,7,28,51,2076,1,49,10,2,87.1,2.311804008908686,585,44600,0.4816955684007707
NE42,0.5544554455445544,16,4,73,12625,2,31,16,17,13.3,2.3838746223564957,2134,38900,0.6336633663366337
NE43,0.6618133686300464,12,4,22,4533,2,37,14,6,30.7,2.3946117274167986,243,45600,0.44120891242003085
NE44,1.863932898415657,7,22,23,1073,2,50,9,3,6.0,2.41123595505618,331,45800,0.9319664492078285
NE45,1.0790396547073104,18,2,50,3707,2,44,11,15,15.9,2.181871689228958,223,45700,0.5395198273536552
NE46,1.0916329544724845,18,20,82,15573,2,42,13,5,15.8,2.314999256726624,363,40400,0.642137032042638
NE47,0.5172636751584121,7,51,41,7733,2,41,13,3,74.8,2.3476017000607166,43,39900,1.0345273503168242
NE48,1.3689253935660506,16,35,32,4383,2,36,12,7,47.0,2.2293997965412005,14,39900,1.3689253935660506
NE49,1.1355893708834885,14,32,96,4403,2,26,18,6,8.3,2.1732477788746296,94,34600,0.2271178741766977
NE61,0.6477083461846894,7,11,99,32422,2,32,17,7,39.8,2.360366919044846,203,41500,0.5860218370242428
NE62,0.6311139160618492,14,30,83,9507,2,23,22,18,25.5,2.2197058136819985,2956,36500,0.5259282633848743
NE63,0.7956312610755487,10,8,170,27651,2,22,23,22,23.4,2.2462225832656375,3257,33800,0.32548551589454267
NE64,0.9603072983354674,17,28,127,6248,2,20,28,21,31.2,2.207773851590106,3631,29900,0.16005121638924455
NE65,0.7627765064836003,6,18,85,19665,2,34,16,5,59.3,2.233390119250426,92,39300,0.6102212051868803
NE66,1.0318734235267142,14,15,78,17444,2,35,14,5,33.5,2.2841429880843265,84,37700,0.6305893143774364
NE67,3.0991735537190084,9,43,55,968,2,38,11,4,30.8,1.9092702169625249,29,35600,1.0330578512396695
NE68,1.0126582278481013,9,22,39,1975,2,27,16,10,39.4,2.0615866388308977,539,35000,0.5063291139240507
NE70,1.654715940430226,7,22,24,1813,2,33,15,7,53.0,2.166069295101553,48,35100,0.5515719801434088
NE71,1.6874789065136686,19,47,82,2963,2,29,16,12,33.0,2.057638888888889,33,35000,0.6749915626054674
NG1,0.5285013212533032,4,5,770,13245,5,37,17,20,10.0,2.199435403520425,19770,36000,0.07550018875047189
NG2,0.5458329069013749,9,15,107,58626,6,40,17,15,20.1,2.363094038453787,8436,50600,0.3582028451540272
NG10,0.5334129896731246,3,29,105,46868,1,28,17,9,12.8,2.1974868717179294,12404,37400,0.3413843133907997
NG11,0.6114744510022864,11,46,104,37614,6,32,19,8,20.7,2.1229258381307146,5007,39900,0.45195937682777687
NG12,0.7898894154818326,8,7,52,32916,7,43,13,5,35.4,0.8742165090831828,8035,39900,1.1240733989549154
NG13,0.6055242442591644,5,19,50,21469,6,36,14,7,7.2,1.2881142377152457,4789,31000,0.6055242442591644
NG14,0.4645161290322581,3,36,53,19375,5,35,13,5,42.8,0.9925208749551764,13604,33300,0.8258064516129032
NG15,0.6732663391766203,8,20,101,40103,5,27,19,8,18.3,1.5690363472749327,7404,34700,0.6732663391766203
NG16,0.5651757539601551,4,23,83,63697,3,23,20,8,10.3,2.0676145031973254,5984,46400,0.40818248897122317
NG17,0.4664371064436914,4,28,117,72893,6,20,24,10,27.0,3.531295417110745,5580,39700,0.2332185532218457
NG18,0.5677382726563054,10,19,199,42273,6,24,22,26,19.2,2.618009537375364,1515,37700,0.3311806590495115
NG19,0.6391880374990315,11,22,83,51628,6,20,24,12,17.6,3.691933638443936,658,52200,0.2905400170450143
NG20,0.762514773723741,12,22,112,26229,6,19,27,12,16.4,2.9941780821917807,403,51300,0.45750886423424453
NG21,0.7688133140376266,9,27,78,22112,7,25,21,19,39.5,2.798987341772152,581,49900,0.45224312590448623
NG22,0.573482183820156,6,16,78,26156,7,30,17,5,22.5,1.5126069858894287,2135,40400,0.6117143294081664
NG3,0.49529470034670625,9,21,102,48456,5,33,19,15,11.5,1.7797039703235757,2185,38900,0.6603929337956084
NG4,0.6861567868257897,10,30,68,40807,3,29,18,9,15.8,1.3131355386793668,3787,34400,0.6616511872962972
NG5,0.5053637470424736,5,34,108,87066,4,32,20,12,16.5,4.695863222048433,4186,38000,0.1493120161716399
NG6,0.5282480652914608,13,42,151,37861,5,23,26,23,27.0,1.7219720744076046,3172,35200,0.660310081614326
NG7,0.35439000620182515,8,26,176,56435,5,31,22,16,13.5,5.187994116565545,1642,31300,0.30123150527155135
NG8,0.31331265469812325,7,30,107,63834,5,29,25,21,15.0,6.884598792062123,1062,38200,0.14099069461415548
NG9,0.5593451568894953,4,37,79,73300,1,38,16,8,11.3,6.642501132759403,279,40800,0.19099590723055934
NG23,0.5735589331803843,5,20,45,17435,7,30,16,5,12.0,2.3792303493449785,152,48900,0.6882707198164612
NG24,0.7147962830593281,10,21,136,44768,7,27,18,8,9.7,2.2639830079902903,2071,40100,0.37973552537526806
NG25,0.6672597864768683,6,22,34,8992,7,45,11,4,70.5,2.4107238605898123,510,52000,0.4448398576512455
NG31,0.6549380067300525,10,16,126,44279,7,26,18,9,17.5,2.33231498551488,3480,38200,0.5420176607421126
NG32,0.3850596842510589,5,11,60,12985,7,28,17,9,45.2,2.289719626168224,129,46700,0.693107431651906
NG33,0.5149860953754248,3,51,62,9709,7,29,15,10,30.2,2.327739151282666,96,46000,0.8239777526006797
NG34,0.5633250875603125,2,20,72,40829,9,28,16,11,10.5,2.3122097632800998,284,43000,0.4653555071150408
NN1,0.7189564860145846,12,20,332,29209,13,34,18,17,13.7,2.210793218286406,13938,40000,0.3081242082919648
NN2,0.6749824504562881,10,17,119,37038,13,28,18,11,16.5,2.3394391106619508,7628,36500,0.48598736432852746
NN3,0.59445274100709,7,20,114,68971,13,29,18,10,6.8,2.449863247256065,6068,40000,0.4204665729074539
NN4,0.5992252873071244,10,12,99,46727,13,33,15,11,19.4,2.529612386314422,4327,50000,0.3852162561260085
NN5,0.6311139160618492,11,20,133,38028,13,28,19,20,13.0,2.3153921091086214,7971,39800,0.3418533712001683
NN6,0.7763279687080111,8,12,67,33491,13,30,16,8,39.5,2.4460268770084723,264,52200,0.6270341285718551
NN7,0.5120889571674164,7,22,54,27339,13,31,16,9,15.6,2.385810280129156,346,50300,0.8047112184059402
NN8,0.5095904930797611,3,15,144,49059,13,24,20,14,12.0,2.3789642129764332,3899,36900,0.46882325363338023
NN9,0.49537019395648363,6,14,84,26243,13,26,16,11,44.9,2.3762223831944946,1101,40800,0.41915939488625537
NN10,0.49638163910442296,7,21,108,38277,14,24,17,12,8.7,2.4026740317619737,2575,41200,0.36575489197168015
NN11,0.40068383374292127,5,13,82,37436,13,31,15,8,24.2,2.400512984931068,529,43800,0.5075328560743668
NN12,0.6942335228012323,7,6,62,23047,13,37,11,8,23.9,2.4229394449116906,342,52400,0.7376231179763092
NN13,0.7020196565503835,10,17,60,18518,13,36,10,10,13.8,2.4684084244201543,382,49100,0.5400151204233719
NN14,0.5091767537667508,5,19,67,43207,13,29,16,9,31.3,2.409760178471835,466,44600,0.5091767537667508
NN15,0.6675373675809027,7,10,92,34455,13,28,16,14,12.1,2.3874029933481156,4682,42500,0.5224205485415759
NN16,0.6729022273063724,13,17,191,29722,13,26,19,12,6.3,2.277373381350088,4977,36400,0.3028060022878676
NN17,0.9329750709061053,7,17,141,26796,13,22,20,9,16.0,2.357765068191817,1162,34600,0.4851470368711748
NN18,0.6113029923281474,9,24,119,32717,13,23,21,20,3.0,2.501299694189602,3900,36300,0.4584772442461106
NN29,0.43519888589085215,5,21,55,11489,14,29,15,10,26.1,2.313997985901309,481,43400,0.5222386630690224
NP4,0.4007034571803833,8,22,101,44921,1,28,22,12,16.4,2.3668791822540705,1045,35200,0.37844215400369535
NP7,0.6531929608852687,8,28,76,26026,2,39,17,5,14.1,2.2785851864822275,187,42000,0.3842311534619227
NP8,0.7485029940119761,7,33,48,5344,0,45,12,3,13.1,2.3174327840416304,104,46200,0.561377245508982
NP10,0.46976426375128116,9,18,87,23416,9,37,18,9,29.9,2.416013206768469,1283,49800,0.3843525794328664
NP11,0.4544846945595509,9,27,85,37405,-2,24,23,16,17.1,2.344259212835297,1496,31300,0.37428151316668895
NP12,0.4142256938280372,5,32,94,33798,-2,24,25,11,20.9,2.445763079817642,2194,31100,0.38463814426889165
NP13,0.5980861244019139,11,35,97,20064,-4,19,30,13,11.2,2.2725110431532447,1465,26600,0.39872408293460926
NP15,0.6043026347594875,5,28,41,8274,2,45,11,3,64.1,2.4522821576763483,133,51500,0.48344210780759006
NP16,0.6722406621570522,6,10,61,23801,3,40,13,4,18.0,2.4368792873963345,384,47300,0.4201504138481576
NP18,0.5392450569203117,6,24,66,16690,9,29,21,4,63.1,2.429049628874982,514,48400,0.4194128220491312
NP19,0.7368768058329617,5,24,137,51569,10,26,23,19,7.3,2.395104732710975,10408,34600,0.36843840291648083
NP20,0.4937003831114973,9,25,182,50638,10,29,24,19,8.5,2.301831901450066,6181,37300,0.3752122911647379
NP22,0.498685284250612,9,41,137,22058,-3,21,30,20,26.4,2.2602725689107492,1097,25100,0.4080152325686826
NP23,0.4197145940760283,7,33,121,33356,-4,21,28,19,10.8,2.33929448067887,1984,28500,0.3897349802134549
NP24,0.6045949214026601,11,22,125,4962,-2,18,34,7,8.4,2.357244655581948,1248,24200,0.6045949214026601
NP25,0.5195142541723489,4,19,68,15399,2,42,14,6,24.8,2.3896648044692737,242,46500,0.45457497240080524
NP26,0.3988300983780909,4,23,69,22566,2,34,15,7,20.9,2.4675779114270093,741,45000,0.3988300983780909
NP44,0.38018798183546304,8,12,118,47345,1,27,24,13,10.0,2.36547589308019,2933,35200,0.3590664272890485
NR1,0.9372071227741331,10,14,262,24541,8,38,19,23,10.7,1.9930967270364655,10329,38400,0.36673322195509556
NR2,0.7757350089209526,12,16,177,25782,8,43,17,25,7.0,2.027046151426999,14637,42000,0.310294003568381
NR3,0.5815377081292851,11,19,152,32672,8,31,22,36,5.7,2.0884684223983636,12849,38100,0.2754652301665034
NR4,0.44780797993820254,7,6,98,22331,10,40,18,17,20.6,2.6483633776091082,3544,45200,0.4925887779320227
NR5,0.48572320716094786,9,13,112,28823,11,29,21,29,14.8,2.4308847094543307,5691,39000,0.38163966276931616
NR6,0.57918252523581,7,23,73,24172,7,25,19,20,10.9,2.267542213883677,4799,40400,0.4964421644878371
NR7,0.7489000530470871,11,15,68,32047,6,27,17,12,14.1,2.2495437315737754,6336,41400,0.40565419540050546
NR8,0.6397322966389449,8,13,43,20321,8,30,12,8,21.4,2.4319052178075635,2204,45300,0.39368141331627377
NR9,0.7578407368543779,7,12,55,17154,12,31,18,9,71.1,2.3463274517849815,269,46400,0.7578407368543779
NR10,0.4393480075567857,5,19,54,22761,6,26,15,7,18.5,2.478871705510782,385,43100,0.5711524098238214
NR11,0.79844872818524,7,19,48,17534,3,28,17,10,22.1,2.212212969972243,224,39900,0.7414166761720087
NR12,0.7338551859099804,4,17,54,20440,3,26,16,8,11.1,2.225367446924333,296,39700,0.7338551859099804
NR13,0.8615845663982019,3,8,51,26695,6,32,13,10,16.0,2.371834740115504,395,44100,0.4869825810076794
NR14,0.5068423720223011,5,10,50,23676,14,37,16,9,26.8,2.377347123205141,396,47600,0.5490792363574928
NR15,0.4428697962798937,4,25,42,15806,15,32,13,7,8.2,2.4418353159276998,289,46100,0.7592053650512464
NR16,0.6638453240394988,5,22,41,12051,11,30,13,6,6.3,2.4291473493247326,170,44600,0.6638453240394988
NR17,0.569584203531422,4,20,63,15801,9,25,16,5,8.5,2.385416666666667,422,41700,0.569584203531422
NR18,0.5726720879624326,5,11,90,17462,15,33,14,6,12.0,2.4219140083217754,677,44700,0.5154048791661894
NR19,0.5902026362384418,7,21,97,20332,9,22,18,9,8.1,2.323391612387156,702,38200,0.4918355301987016
NR20,0.4700966309741447,4,15,48,19145,8,27,16,8,14.6,2.420660007586294,232,41600,0.4700966309741447
NR21,0.6292078273453722,5,35,70,15893,2,26,17,12,20.3,2.2181437543614795,195,38300,0.6292078273453722
NR23,0.6521030322791,5,2,73,3067,2,32,17,13,27.0,2.0284391534391535,106,39400,0.6521030322791
NR24,0.9072352007257881,7,17,40,4409,2,28,15,8,9.2,2.30355276907001,208,41700,0.22680880018144703
NR25,1.129815840018077,6,40,61,8851,2,34,15,16,25.5,2.1261109776603413,188,38100,0.4519263360072308
NR26,0.8323424494649226,8,26,68,8410,2,28,17,10,50.3,2.0863309352517985,1901,37700,0.356718192627824
NR27,1.1858377096391666,8,25,70,11806,2,27,19,12,21.1,2.1306623353185348,1218,35100,0.5082161612739284
NR28,0.8078010501413652,8,24,64,17331,2,24,19,11,8.6,2.2687524545097526,480,36500,0.28850037505048753
NR29,0.8491932663969229,4,37,63,20019,3,21,19,9,7.4,2.31862404447533,393,39300,0.5494779959038913
NR30,0.6833935370496925,8,14,226,30729,3,16,27,12,10.9,2.2711751662971174,3058,32300,0.3579680432165056
NR31,0.5402160864345739,3,21,96,49980,3,19,25,6,24.9,2.3271406621036457,2152,37100,0.3601440576230492
NR32,0.523711016261227,6,24,143,38189,3,20,24,8,23.1,2.2529054333077694,2167,36400,0.3927832621959203
NR33,0.581219043768321,3,27,88,39572,3,20,21,10,8.3,2.297225124811332,3183,37300,0.3537855049024563
NR34,0.6259501028346598,6,20,61,22366,4,28,16,8,18.8,2.2752797558494406,264,40500,0.5812393812036126
NR35,0.5515719801434088,5,32,58,10878,9,29,16,6,29.6,2.3085738539898135,288,41800,0.7354293068578783
NW1,0.27923325832361495,1,16,257,60881,-5,54,23,30,7.2,2.310123700387038,25197,50100,0.295658744107357
NW2,0.20758885544401773,1,16,129,67441,8,45,23,19,4.9,2.6194748698827004,20457,50000,0.2668999569994514
NW3,0.42519471985466073,1,2,109,51741,-4,67,15,17,16.7,2.186763027767212,20358,62200,0.28990549080999595
NW4,0.24997656469705962,3,32,121,32003,9,47,19,6,13.1,2.7546049233947323,17404,53000,0.3124707058713246
NW5,0.2908103916246607,6,6,124,30948,-4,55,24,40,15.1,2.345078426915208,26092,51200,0.3231226573607341
NW6,0.36721269597981926,1,3,143,62634,1,57,21,28,2.8,2.174263199916687,33154,55200,0.33528115719896545
NW7,0.6343668226151772,5,20,101,25222,9,49,16,8,30.1,2.683191489361702,6040,58200,0.5947188962017287
NW8,0.44338033164848806,1,-25,94,33831,-6,54,24,24,9.4,2.3459538173496983,32372,52700,0.2069108214359611
NW9,0.2843189724377843,1,2,133,59792,9,42,21,17,9.8,2.9186761690910865,20070,48300,0.2675943270002676
NW10,0.26138096275321276,2,32,162,91820,8,38,26,33,4.9,2.6638428733064496,17388,45800,0.30494445654541497
NW11,0.368425900340794,4,16,107,32571,9,52,17,7,12.2,2.7506967316949584,15558,58900,0.24561726689386265
OL1,0.654940119760479,26,18,113,21376,8,23,26,21,7.3,2.5378131307135225,8162,32200,0.6081586826347306
OL2,0.5688147323015665,9,46,108,42193,8,25,22,15,9.3,2.3141008062304613,5088,39800,0.45031166307207354
OL3,0.3291205897840969,5,26,1,15192,8,26,26,8,12.9,2.314442413162706,579,47600,0.5924170616113744
OL4,0.5650100571790179,16,44,107,44247,8,25,26,13,6.7,2.5879978943674327,7670,36400,0.40680724116889283
OL5,0.5475951446563841,8,25,116,10957,5,34,17,13,12.4,2.2193639862264534,3459,41900,0.5475951446563841
OL6,0.48816206980717597,12,33,111,28679,5,24,26,17,12.3,2.331815594763802,7300,34900,0.48816206980717597
OL7,0.35648505733468006,15,33,114,16831,5,22,28,26,16.3,2.3513551271304833,8936,31500,0.2970708811122334
OL8,0.4034494931665742,22,28,108,39658,8,21,34,32,10.4,2.747350190509179,12037,31200,0.4790962731353069
OL9,0.4647294785246062,14,35,108,40884,8,22,29,22,3.4,2.614233646652599,10556,36000,0.4647294785246062
OL10,0.39820445988995073,7,44,112,27624,6,23,22,16,17.2,2.288839174745215,4340,34900,0.43440486533449174
OL11,0.46147760734848153,10,30,1,45506,6,28,23,17,13.8,2.560112517580872,3716,36700,0.351601986551224
OL12,0.4769027335197589,10,33,13,46131,6,27,24,8,4.9,2.3999063572989283,2730,36700,0.4769027335197589
OL13,0.9154515137644674,10,22,119,15293,4,26,23,7,17.1,2.310469859495392,1797,35000,0.71928333224351
OL14,0.6416837782340862,12,19,113,15584,1,37,18,4,11.2,2.223744292237443,791,37000,0.513347022587269
OL15,0.8199521694567817,16,31,1,14635,6,27,22,4,19.3,2.3281896277441936,1323,41400,0.40997608472839087
OL16,0.4564248509907104,11,22,109,37246,6,25,27,14,5.7,2.598437281986884,3759,35300,0.4564248509907104
OX1,0.3524160075182082,7,10,179,25538,8,57,12,9,20.5,3.6152321630804076,2727,52200,0.19578667084344897
OX2,0.4312859933531218,6,15,63,39417,9,64,10,12,24.9,2.5168890875423027,2119,60500,0.3044371717786742
OX3,0.3914435054917221,11,15,90,43429,7,48,16,9,17.0,2.613371043446865,3287,52300,0.4144695940500587
OX4,0.4031997935617057,8,19,133,62004,7,42,19,25,13.0,2.6071819022790343,9902,47300,0.354815818334301
OX5,0.6879944960440316,9,10,58,23256,14,40,12,8,16.0,2.4614733276883998,610,54700,0.47299621603027175
OX7,0.74362451336337,8,28,57,22861,9,43,11,8,36.9,2.3310900377281536,225,50500,0.6123966580639517
OX9,0.5704099821746881,6,-1,66,14025,11,42,10,10,37.8,2.4731087991535885,786,56800,0.35650623885918004
OX10,0.4535490210900295,5,20,54,26458,11,44,10,9,16.1,2.5275124188001525,609,55400,0.491344772847532
OX11,0.6321873682942982,7,8,90,33218,12,42,11,8,12.9,2.4682716599791945,1476,60500,0.5418748871093986
OX12,0.7539981745307354,7,18,77,25199,14,39,11,11,7.6,2.419723449202996,460,57600,0.5158934878368189
OX13,0.5186337704675114,6,28,47,13497,14,44,11,10,54.9,2.7135102533172497,485,58500,0.5186337704675114
OX14,0.587225584967025,4,13,74,44276,14,44,11,9,12.4,2.4148350149986366,1540,58500,0.4517119884361731
OX15,0.5548465849192699,5,21,45,18023,14,34,14,7,40.1,2.4477794377291864,298,55500,0.7213005603950509
OX16,0.5786168913271758,9,4,140,46663,14,28,17,17,8.2,2.447189007761695,6924,44200,0.407174849452457
OX17,0.5233470954236203,5,16,44,17197,14,32,15,11,37.5,2.4092182684225274,279,52600,0.5814967726929116
OX18,0.7145409074669524,9,20,50,25191,9,35,11,8,12.5,2.546345901142222,538,55700,0.5160573220594656
OX20,0.6233118637024725,6,35,56,4813,9,45,10,8,8.5,2.2522227421619094,303,56300,0.6233118637024725
OX25,0.39670732916790635,3,9,85,10083,14,37,12,8,10.4,2.7985012489592007,270,58400,0.39670732916790635
OX26,0.6942767447476454,11,9,112,33128,14,36,12,7,10.7,2.531367005425231,2866,55600,0.4527891813571601
OX27,0.5841974587410544,4,3,66,6847,13,36,11,9,12.5,2.5906167234203554,242,58300,0.5841974587410544
OX28,0.942848854076008,20,12,87,27576,9,35,13,14,6.7,2.4077534270496814,6119,52100,0.4351610095735422
OX29,0.3036086051353227,3,11,62,23056,9,39,12,10,21.3,2.459569020695541,382,53900,0.6939625260235947
OX33,0.5297311614355715,8,16,82,7551,12,44,11,5,75.4,2.4201923076923078,377,56600,0.6621639517944643
OX39,0.5815644082582145,7,9,48,6878,11,41,11,10,8.4,2.525890561880279,677,58300,0.29078220412910727
OX44,0.49504950495049505,5,33,38,8080,11,32,20,9,13.1,2.530535546507986,246,55700,0.7425742574257426
OX49,0.4713646005185011,5,37,51,4243,11,46,9,5,10.3,2.4162870159453305,192,56800,0.9427292010370022
PE1,0.4070998208760788,7,28,242,49128,17,21,25,20,6.4,2.6603129907402394,6984,36400,0.42745481191988277
PE2,0.4741904890936187,3,20,131,44286,17,27,20,13,29.0,2.3334211496917647,6800,43300,0.4516099896129702
PE3,0.3463203463203463,7,18,156,28875,17,28,20,14,24.5,2.5331169400824636,7205,41300,0.4155844155844156
PE4,0.4245232957158524,7,21,103,28267,17,23,21,13,5.7,2.31336443244128,7916,41100,0.4245232957158524
PE5,2.0689655172413794,7,22,41,1450,17,34,14,3,20.3,2.353896103896104,922,50900,0.689655172413793
PE6,0.5574912891986062,6,23,58,35875,12,25,20,7,15.2,2.4120890203724867,329,45800,0.4181184668989547
PE7,0.7022143158091849,3,15,88,42722,10,26,20,9,12.7,2.458820143884892,642,46300,0.4447357333458172
PE8,0.39449954914337243,4,24,48,17744,14,33,13,8,39.6,2.5933937445191466,175,51400,0.5072137060414789
PE9,0.5470987674186593,6,19,69,31073,9,36,12,9,24.2,2.2618285048769837,387,47900,0.38618736523670066
PE10,0.7716049382716049,6,20,64,22032,7,29,14,10,10.9,2.411822660098522,385,44500,0.4084967320261438
PE11,0.6501648632331769,3,21,98,43066,8,21,17,13,7.0,2.3805207009010005,545,37100,0.510843821111782
PE12,0.728899612929171,2,29,69,39786,8,19,20,8,9.1,2.3504460329650856,216,35100,0.5278238576383653
PE13,0.59687917460137,2,19,135,35183,8,17,24,9,10.7,2.3634959021899773,737,37400,0.5116107210868885
PE14,0.43171679378327815,3,22,72,20847,6,18,23,11,6.5,2.4268917345750873,245,40000,0.6235909243536241
PE15,0.4352775731601152,3,19,89,29866,8,20,20,8,8.2,2.3457430097392398,447,39500,0.301346012187772
PE16,0.6710122699386504,4,27,70,10432,8,23,18,10,5.9,2.303886925795053,357,43100,0.2875766871165644
PE19,0.5937021898476925,7,14,68,43793,7,34,13,10,21.8,2.384720104552385,700,48600,0.45669399219053275
PE20,0.6376647300552644,4,29,69,14114,10,19,20,12,17.5,2.358622994652406,214,34600,0.28340654669122856
PE21,0.5842076975206225,7,15,140,42793,10,19,21,13,9.9,2.3497144739732043,3251,32500,0.3972612343140233
PE22,0.5353955978584176,4,26,52,16810,7,19,21,8,15.9,2.4045200972679157,119,34700,0.7138607971445569
PE23,0.9215528164957955,6,39,71,8681,5,24,19,6,37.9,2.2772822665267576,132,36300,0.9215528164957955
PE24,0.6871671534100671,3,24,93,11642,5,16,29,13,29.6,2.1643428146495634,205,28900,0.34358357670503353
PE25,0.46017210436703326,3,17,249,21731,5,15,31,13,16.3,2.200607594936709,2649,25300,0.3681376834936266
PE26,0.5099439061703213,4,14,60,11766,7,27,16,9,24.1,2.4380439287194364,405,45800,0.5099439061703213
